country_code,region_code,region,year,ncd_probability_30_70,ncd_probability_low,ncd_probability_high,data_quality_note,ncd_mortality_rate,ncd_mortality_rate_low,ncd_mortality_rate_high
AFG,EMR,Eastern Mediterranean,2000,43.2,25.6,60.0,,1120.545410156,554.132507324,1894.57434082
AFG,EMR,Eastern Mediterranean,2001,43.5,25.8,60.3,,1130.776611328,557.95324707,1911.569702148
AFG,EMR,Eastern Mediterranean,2002,43.1,25.7,60.2,,1118.808349609,560.137207031,1915.976318359
AFG,EMR,Eastern Mediterranean,2003,42.5,25.6,60.1,,1109.857421875,563.336730957,1929.617431641
AFG,EMR,Eastern Mediterranean,2004,42.3,25.6,60.0,,1105.817871094,564.12902832,1926.891967773
AFG,EMR,Eastern Mediterranean,2005,41.9,25.3,59.5,,1094.465576172,563.266479492,1918.420410156
AFG,EMR,Eastern Mediterranean,2006,41.1,24.7,58.6,,1075.893188477,558.201721191,1894.996582031
AFG,EMR,Eastern Mediterranean,2007,40.5,24.3,57.8,,1059.642944336,540.95123291,1832.260620117
AFG,EMR,Eastern Mediterranean,2008,39.6,23.8,56.9,,1035.265136719,525.00604248,1770.869628906
AFG,EMR,Eastern Mediterranean,2009,38.3,22.9,55.2,,1001.1171875,513.067504883,1724.098266602
AFG,EMR,Eastern Mediterranean,2010,37.6,22.4,54.4,,982.292236328,503.736968994,1691.909545898
AFG,EMR,Eastern Mediterranean,2011,37.2,22.0,53.9,,973.366699219,502.351837158,1691.053833008
AFG,EMR,Eastern Mediterranean,2012,36.5,21.6,52.9,,956.131225586,499.1015625,1674.115112305
AFG,EMR,Eastern Mediterranean,2013,36.0,21.2,52.3,,944.337219238,493.344451904,1654.181152344
AFG,EMR,Eastern Mediterranean,2014,35.4,20.8,51.5,,928.481140137,487.689849854,1628.27331543
AFG,EMR,Eastern Mediterranean,2015,35.0,20.7,51.0,,917.511535645,483.776184082,1603.228027344
AFG,EMR,Eastern Mediterranean,2016,34.9,20.6,50.9,,916.821899414,481.268951416,1591.662597656
AFG,EMR,Eastern Mediterranean,2017,35.0,20.7,51.0,,919.190185547,482.581634521,1592.891479492
AFG,EMR,Eastern Mediterranean,2018,34.6,20.4,50.5,,911.75213623,479.597167969,1578.717651367
AFG,EMR,Eastern Mediterranean,2019,34.4,20.2,50.3,,910.943054199,479.935943604,1578.547607422
AFG,EMR,Eastern Mediterranean,2020,34.8,20.5,50.7,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",919.329040527,487.181884766,1603.100585938
AFG,EMR,Eastern Mediterranean,2021,32.7,19.2,48.3,"For this geography and year, some non-communicable disease deaths may be included in a separate category called ""other pandemic-related mortality"" due to lack of vital registration data. Estimates of this indicator for 2020 and 2021 may be underestimated, and need to be interpreted with caution.",846.898071289,451.97857666,1493.755004883
AGO,AFR,Africa,2000,30.5,18.2,43.1,,812.830200195,415.398468018,1306.979125977
AGO,AFR,Africa,2001,29.7,17.8,42.2,,785.01348877,402.947875977,1256.978515625
AGO,AFR,Africa,2002,29.4,17.7,41.8,,779.049194336,400.724243164,1245.295166016
AGO,AFR,Africa,2003,29.3,17.7,41.6,,787.620910645,404.392456055,1261.432373047
AGO,AFR,Africa,2004,29.0,17.6,41.3,,781.112854004,402.573699951,1247.419555664
AGO,AFR,Africa,2005,27.8,16.8,39.6,,748.423339844,386.501495361,1193.840576172
AGO,AFR,Africa,2006,27.9,16.9,39.6,,754.630126953,391.110961914,1201.658081055
